Dateipfad;Architektur;Min. OS Version;Windows Name
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kobjdump.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kalcc.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/dwarfdump.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kstrip.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kobjcopy.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kas.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kalelf2mem.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kranlib.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kc++filt.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/klink.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kinfo.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/ksize.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kmapper.exe";"32-Bit";"4.0";"Unbekannt"
